id,idProject,refType,idResource,id_activity,rate,assignedWork,realWork,leftWork,plannedWork,realStartDate,realEndDate,idRole,dailyCost,assignedCost,realCost,leftCost,plannedCost
31,4,Activity,5,12,100,,1.25000,,1.25000,2019-04-17 00:00:00,2019-04-18 00:00:00,4,0.00,,,,
32,4,Activity,5,13,100,,,,,,,4,0.00,,,,
33,4,Activity,5,14,100,,,,,,,4,0.00,,,,
34,4,Activity,5,15,100,,,,,,,4,0.00,,,,
35,4,Activity,5,16,100,,3.75000,,3.75000,2018-01-02 00:00:00,2019-04-17 00:00:00,4,0.00,,,,
36,7,Activity,19,17,100,,,,,,,4,0.00,,,,
37,7,Activity,5,17,100,,,,,,,4,0.00,,,,
38,7,Activity,8,17,100,,,,,,,4,0.00,,,,
39,7,Activity,22,17,100,,2.00000,,2.00000,2018-04-05 00:00:00,2018-04-06 00:00:00,4,,,,,
40,7,Activity,17,17,100,,4.00000,,4.00000,2018-11-05 00:00:00,2018-11-08 00:00:00,4,0.00,,,,
41,7,Activity,23,17,100,,,,,,,4,0.00,,,,
42,7,Activity,18,17,100,,,,,,,4,0.00,,,,
43,7,Activity,19,18,100,,,,,,,4,0.00,,,,
44,7,Activity,5,18,100,,,,,,,4,0.00,,,,
45,7,Activity,8,18,100,,5.00000,,5.00000,2018-11-12 00:00:00,2018-11-30 00:00:00,4,0.00,,,,
46,7,Activity,22,18,100,,,,,,,4,0.00,,,,
47,7,Activity,17,18,100,,,,,,,4,0.00,,,,
48,7,Activity,23,18,100,,,,,,,4,0.00,,,,
49,7,Activity,18,18,100,,,,,,,4,0.00,,,,
50,7,Activity,19,19,100,,,,,,,3,0.00,,,,
51,7,Activity,8,19,100,,,,,,,4,0.00,,,,
52,7,Activity,5,19,100,,,,,,,4,0.00,,,,
53,7,Activity,22,19,100,,7.00000,,7.00000,2018-04-09 00:00:00,2018-04-17 00:00:00,4,0.00,,,,
54,7,Activity,17,19,100,,,,,,,4,0.00,,,,
55,7,Activity,23,19,100,,,,,,,4,0.00,,,,
56,7,Activity,18,19,100,,,,,,,4,0.00,,,,
57,7,Activity,19,20,100,,,,,,,4,0.00,,,,
58,7,Activity,5,20,100,,0.25000,,0.25000,2018-01-15 00:00:00,2018-01-15 00:00:00,4,0.00,,,,
59,7,Activity,8,20,100,,5.75000,,5.75000,2018-03-12 00:00:00,2018-04-17 00:00:00,4,0.00,,,,
61,7,Activity,17,20,100,,,,,,,4,0.00,,,,
64,7,Activity,19,21,100,,,,,,,4,0.00,,,,
65,7,Activity,5,21,100,,,,,,,4,0.00,,,,
66,8,Activity,23,22,100,,66.50000,,66.50000,2018-01-02 00:00:00,2018-03-30 00:00:00,4,0.00,,,,
67,10,Activity,5,23,100,,,,,,,4,0.00,,,,
68,10,Activity,8,23,100,,,,,,,4,0.00,,,,
69,10,Activity,5,24,100,,,,,,,4,0.00,,,,
70,10,Activity,8,24,100,,,,,,,4,0.00,,,,
71,10,Activity,5,25,100,,,,,,,4,0.00,,,,
72,10,Activity,8,25,100,,,,,,,4,0.00,,,,
73,10,Activity,5,26,100,,,,,,,4,0.00,,,,
74,10,Activity,8,26,100,,0.50000,,0.50000,2018-02-28 00:00:00,2018-02-28 00:00:00,4,0.00,,,,
75,10,Activity,5,27,100,,0.75000,,0.75000,2018-01-22 00:00:00,2018-01-23 00:00:00,4,0.00,,,,
76,10,Activity,8,27,100,,5.50000,,5.50000,2018-01-03 00:00:00,2018-04-02 00:00:00,4,0.00,,,,
77,13,Activity,19,28,100,,11.00000,,11.00000,2018-01-13 00:00:00,2018-02-23 00:00:00,4,0.00,,,,
78,13,Activity,17,28,100,,70.00000,,70.00000,2018-01-03 00:00:00,2018-10-19 00:00:00,4,0.00,,,,
79,13,Activity,11,28,100,,37.00000,,37.00000,2018-01-04 00:00:00,2018-03-16 00:00:00,4,0.00,,,,
80,13,Activity,20,28,100,,50.00000,,50.00000,2018-01-03 00:00:00,2018-10-26 00:00:00,4,0.00,,,,
81,13,Activity,19,29,100,,40.00000,,40.00000,2018-01-02 00:00:00,2018-03-23 00:00:00,4,0.00,,,,
82,13,Activity,17,29,100,,58.00000,,58.00000,2018-01-08 00:00:00,2018-10-08 00:00:00,4,0.00,,,,
83,13,Activity,11,29,100,,7.00000,,7.00000,2018-01-25 00:00:00,2018-03-02 00:00:00,4,0.00,,,,
84,13,Activity,20,29,100,,90.50000,,90.50000,2018-01-24 00:00:00,2018-10-18 00:00:00,4,0.00,,,,
85,13,Activity,19,30,100,,0.50000,,0.50000,2018-02-21 00:00:00,2018-02-21 00:00:00,4,0.00,,,,
86,13,Activity,17,30,100,,2.00000,,2.00000,2018-04-23 00:00:00,2018-10-08 00:00:00,4,0.00,,,,
87,13,Activity,20,30,100,,29.00000,,29.00000,2018-01-17 00:00:00,2018-10-30 00:00:00,4,0.00,,,,
88,13,Activity,19,31,100,,13.25000,,13.25000,2018-01-10 00:00:00,2018-03-30 00:00:00,4,0.00,,,,
89,13,Activity,17,31,100,,14.00000,,14.00000,2018-02-14 00:00:00,2018-08-14 00:00:00,4,0.00,,,,
90,13,Activity,20,31,100,,13.50000,,13.50000,2018-01-02 00:00:00,2018-10-31 00:00:00,4,0.00,,,,
91,13,Activity,19,32,100,,,,,,,4,0.00,,,,
92,13,Activity,17,32,100,,3.00000,,3.00000,2018-03-28 00:00:00,2018-03-30 00:00:00,4,0.00,,,,
93,13,Activity,11,32,100,,10.00000,,10.00000,2018-03-19 00:00:00,2018-03-30 00:00:00,4,0.00,,,,
94,13,Activity,20,32,100,,,,,,,4,0.00,,,,
185,27,Activity,35,76,100,,,,,,,4,0.00,,,,
95,13,Activity,19,33,100,,4.25000,,4.25000,2018-01-12 00:00:00,2018-02-24 00:00:00,4,0.00,,,,
96,13,Activity,17,33,100,,6.00000,,6.00000,2018-01-02 00:00:00,2018-07-16 00:00:00,4,0.00,,,,
97,13,Activity,11,33,100,,2.00000,,2.00000,2018-01-03 00:00:00,2018-01-31 00:00:00,4,0.00,,,,
98,13,Activity,20,33,100,,,,,,,4,0.00,,,,
99,6,Activity,5,34,100,,,,,,,4,0.00,,,,
100,6,Activity,5,35,100,,,,,,,4,0.00,,,,
101,6,Activity,5,36,100,,,,,,,4,0.00,,,,
102,6,Activity,5,37,100,,2.75000,,2.75000,2018-01-16 00:00:00,2019-04-16 00:00:00,4,0.00,,,,
103,6,Activity,5,38,100,,2.00000,,2.00000,2018-01-03 00:00:00,2020-12-09 00:00:00,4,0.00,,,,
105,1,Activity,12,40,100,,,,,,,1,0.00,,,,
106,1,Activity,12,42,100,,,,,,,1,0.00,,,,
107,1,Activity,12,41,100,,,,,,,1,0.00,,,,
108,1,Activity,12,43,100,,,,,,,1,0.00,,,,
109,1,Activity,12,44,100,,,,,,,1,0.00,,,,
110,1,Activity,12,45,100,,,,,,,1,0.00,,,,
111,1,Activity,12,46,100,,,,,,,1,0.00,,,,
112,1,Activity,12,47,100,,,,,,,1,0.00,,,,
113,38,Activity,12,48,100,,,,,,,1,0.00,,,,
114,38,Activity,12,49,100,,,,,,,1,0.00,,,,
115,37,Activity,5,50,100,,,,,,,1,0.00,,,,
116,37,Activity,5,51,100,,,,,,,1,0.00,,,,
117,37,Activity,12,51,100,,,,,,,4,0.00,,,,
118,37,Activity,12,50,100,,,,,,,4,0.00,,,,
119,37,Activity,5,52,100,,,,,,,1,0.00,,,,
120,37,Activity,12,52,100,,,,,,,4,0.00,,,,
121,37,Activity,5,53,100,,,,,,,1,0.00,,,,
122,37,Activity,12,53,100,,,,,,,4,0.00,,,,
123,37,Activity,5,54,100,,,,,,,1,0.00,,,,
124,37,Activity,12,54,100,,,,,,,4,0.00,,,,
125,22,Activity,19,55,100,,70.50000,,70.50000,2019-09-02 00:00:00,2020-09-25 00:00:00,4,0.00,,,,
126,22,Activity,12,56,100,,14.00000,,14.00000,2018-05-15 00:00:00,2018-11-01 00:00:00,4,0.00,,,,
127,22,Activity,4,57,100,,,,,,,4,0.00,,,,
128,22,Activity,15,58,100,,,,,,,4,0.00,,,,
129,32,Activity,19,59,100,,62.50000,,62.50000,2018-04-02 00:00:00,2020-12-31 00:00:00,4,0.00,,,,
130,32,Activity,15,59,100,,27.00000,,27.00000,2018-01-08 00:00:00,2019-03-05 00:00:00,4,0.00,,,,
131,32,Activity,4,59,100,,41.00000,,41.00000,2018-03-19 00:00:00,2020-06-08 00:00:00,4,0.00,,,,
132,32,Activity,3,59,100,,,,,,,4,0.00,,,,
133,32,Activity,24,59,100,,,,,,,4,0.00,,,,
134,32,Activity,19,60,100,,7.75000,,7.75000,2018-09-25 00:00:00,2021-01-08 00:00:00,4,0.00,,,,
135,32,Activity,15,60,100,,8.50000,,8.50000,2018-02-16 00:00:00,2019-02-26 00:00:00,4,0.00,,,,
136,32,Activity,4,60,100,,1.00000,,1.00000,2020-04-13 00:00:00,2020-04-13 00:00:00,4,0.00,,,,
137,32,Activity,3,60,100,,,,,,,4,0.00,,,,
138,32,Activity,24,60,100,,,,,,,4,0.00,,,,
139,32,Activity,5,60,100,,,,,,,4,0.00,,,,
140,32,Activity,26,60,100,,7.00000,,7.00000,2018-04-11 00:00:00,2019-04-05 00:00:00,4,0.00,,,,
141,32,Activity,16,60,100,,,,,,,4,0.00,,,,
142,32,Activity,7,60,100,,,,,,,4,0.00,,,,
143,32,Activity,8,60,100,,7.75000,,7.75000,2019-08-07 00:00:00,2020-12-14 00:00:00,4,0.00,,,,
144,32,Activity,9,60,100,,,,,,,4,0.00,,,,
145,32,Activity,13,60,100,,1.00000,,1.00000,2018-04-03 00:00:00,2018-04-03 00:00:00,4,0.00,,,,
146,32,Activity,22,60,100,,,,,,,4,0.00,,,,
147,32,Activity,17,60,100,,2.00000,,2.00000,2018-05-03 00:00:00,2018-05-04 00:00:00,4,0.00,,,,
148,32,Activity,11,60,100,,,,,,,4,0.00,,,,
149,32,Activity,12,60,100,,42.25000,,42.25000,2018-04-10 00:00:00,2020-10-05 00:00:00,4,0.00,,,,
150,32,Activity,27,60,100,,4.00000,,4.00000,2018-07-23 00:00:00,2018-07-27 00:00:00,4,0.00,,,,
151,32,Activity,25,60,100,,,,,,,4,0.00,,,,
152,32,Activity,18,60,100,,0.00000,,0.00000,,,4,0.00,,,,
153,32,Activity,26,59,100,,86.75000,,86.75000,2018-01-11 00:00:00,2020-12-30 00:00:00,4,0.00,,,,
154,32,Activity,16,59,100,,68.50000,,68.50000,2018-01-02 00:00:00,2020-04-24 00:00:00,4,0.00,,,,
155,32,Activity,7,59,100,,,,,,,4,0.00,,,,
156,32,Activity,8,59,100,,92.50000,,92.50000,2018-01-29 00:00:00,2020-09-14 00:00:00,4,0.00,,,,
157,32,Activity,9,59,100,,5.50000,,5.50000,2018-02-09 00:00:00,2018-06-15 00:00:00,4,0.00,,,,
158,32,Activity,13,59,100,,25.50000,,25.50000,2018-02-05 00:00:00,2019-03-18 00:00:00,4,0.00,,,,
159,32,Activity,22,59,100,,20.00000,,20.00000,2018-01-02 00:00:00,2019-01-04 00:00:00,4,0.00,,,,
160,32,Activity,17,59,100,,29.00000,,29.00000,2018-01-22 00:00:00,2019-02-15 00:00:00,4,0.00,,,,
161,32,Activity,11,59,100,,8.00000,,8.00000,2018-01-02 00:00:00,2018-02-23 00:00:00,4,0.00,,,,
162,32,Activity,23,59,100,,1.50000,,1.50000,2018-03-07 00:00:00,2018-03-23 00:00:00,4,0.00,,,,
163,32,Activity,12,59,100,,86.00000,,86.00000,2018-04-18 00:00:00,2020-12-31 00:00:00,1,0.00,,,,
164,32,Activity,27,59,100,,19.50000,,19.50000,2018-01-05 00:00:00,2019-01-04 00:00:00,4,0.00,,,,
165,32,Activity,25,59,100,,8.50000,,8.50000,2018-02-26 00:00:00,2018-08-10 00:00:00,4,0.00,,,,
166,32,Activity,18,59,100,,41.25000,,41.25000,2018-01-04 00:00:00,2020-12-31 00:00:00,4,0.00,,,,
167,39,Activity,5,61,100,,3.00000,,3.00000,2018-01-04 00:00:00,2018-01-11 00:00:00,1,0.00,,,,
168,39,Activity,5,62,100,,1.75000,,1.75000,2018-02-02 00:00:00,2018-02-09 00:00:00,4,0.00,,,,
169,39,Activity,5,63,100,,3.50000,,3.50000,2018-02-13 00:00:00,2018-02-16 00:00:00,4,0.00,,,,
170,5,Activity,12,64,100,,,,,,,4,0.00,,,,
171,19,Activity,25,65,100,,19.25000,,19.25000,2018-01-02 00:00:00,2019-01-10 00:00:00,4,0.00,,,,
172,19,Activity,25,66,100,,5.75000,,5.75000,2018-01-08 00:00:00,2018-12-27 00:00:00,4,0.00,,,,
173,19,Activity,25,67,100,,19.25000,,19.25000,2018-01-02 00:00:00,2018-09-27 00:00:00,4,0.00,,,,
175,29,Activity,25,69,100,,6.25000,,6.25000,2018-01-11 00:00:00,2018-11-30 00:00:00,4,0.00,,,,
176,29,Activity,25,70,100,,12.25000,,12.25000,2018-01-04 00:00:00,2018-12-27 00:00:00,4,0.00,,,,
177,29,Activity,25,71,100,,44.25000,,44.25000,2018-03-22 00:00:00,2019-01-25 00:00:00,4,0.00,,,,
178,29,Activity,25,72,100,,2.50000,,2.50000,2018-02-02 00:00:00,2018-03-15 00:00:00,4,0.00,,,,
179,21,Activity,13,73,100,,180.50000,,180.50000,2018-01-02 00:00:00,2018-10-19 00:00:00,4,0.00,,,,
180,41,Activity,13,74,100,,1.50000,,1.50000,2018-02-01 00:00:00,2019-03-12 00:00:00,4,0.00,,,,
181,41,Activity,16,75,100,,,,,,,4,,,,,
182,27,Activity,31,76,100,,4.50000,,4.50000,2018-02-19 00:00:00,2018-03-27 00:00:00,4,0.00,,,,
183,27,Activity,28,76,100,,,,,,,4,0.00,,,,
184,27,Activity,30,76,100,,,,,,,4,0.00,,,,
186,27,Activity,28,77,100,,,,,,,4,0.00,,,,
187,27,Activity,30,77,100,,,,,,,4,0.00,,,,
188,27,Activity,35,77,100,,,,,,,4,0.00,,,,
189,27,Activity,31,77,100,,22.90000,,22.90000,2018-02-12 00:00:00,2018-03-27 00:00:00,4,0.00,,,,
190,41,Activity,28,78,100,,,,,,,4,0.00,,,,
191,41,Activity,16,78,100,,0.50000,,0.50000,2018-03-16 00:00:00,2018-03-16 00:00:00,4,0.00,,,,
192,41,Activity,35,78,100,,,,,,,4,0.00,,,,
193,41,Activity,31,78,100,,2.60000,,2.60000,2018-02-12 00:00:00,2018-03-21 00:00:00,4,0.00,,,,
194,41,Activity,30,78,100,,,,,,,4,0.00,,,,
195,32,Activity,20,59,100,,23.50000,,23.50000,2018-01-19 00:00:00,2018-12-31 00:00:00,4,0.00,,,,
196,32,Activity,32,59,100,,,,,,,4,0.00,,,,
197,32,Activity,31,59,100,,1.00000,,1.00000,2018-03-19 00:00:00,2018-03-19 00:00:00,4,0.00,,,,
198,32,Activity,29,59,100,,78.00000,,78.00000,2018-01-29 00:00:00,2021-01-14 00:00:00,4,0.00,,,,
199,32,Activity,30,59,100,,,,,,,4,0.00,,,,
200,32,Activity,28,59,100,,,,,,,4,0.00,,,,
201,32,Activity,33,59,100,,20.50000,,20.50000,2019-02-27 00:00:00,2019-10-21 00:00:00,4,0.00,,,,
202,32,Activity,34,59,100,,54.00000,,54.00000,2018-01-15 00:00:00,2020-08-21 00:00:00,4,0.00,,,,
203,32,Activity,35,59,100,,,,,,,4,0.00,,,,
204,32,Activity,29,60,100,,8.50000,,8.50000,2018-02-05 00:00:00,2019-12-04 00:00:00,4,0.00,,,,
205,32,Activity,31,60,100,,,,,,,4,0.00,,,,
206,32,Activity,32,60,100,,,,,,,4,0.00,,,,
207,32,Activity,20,60,100,,11.00000,,11.00000,2018-02-27 00:00:00,2018-11-16 00:00:00,4,0.00,,,,
208,32,Activity,35,60,100,,,,,,,4,0.00,,,,
209,32,Activity,34,60,100,,7.50000,,7.50000,2019-09-10 00:00:00,2020-11-12 00:00:00,4,0.00,,,,
210,32,Activity,33,60,100,,2.00000,,2.00000,2019-08-09 00:00:00,2019-08-23 00:00:00,4,0.00,,,,
211,32,Activity,30,60,100,,,,,,,4,0.00,,,,
212,32,Activity,28,60,100,,,,,,,4,0.00,,,,
213,41,Activity,23,78,100,,,,,,,4,0.00,,,,
214,22,Activity,19,79,100,,1.00000,,1.00000,2018-02-02 00:00:00,2018-02-02 00:00:00,4,0.00,,,,
215,22,Activity,15,79,100,,2.00000,,2.00000,2018-02-02 00:00:00,2018-02-05 00:00:00,4,0.00,,,,
217,4,Activity,15,13,100,,,,,,,4,0.00,,,,
218,4,Activity,15,14,100,,,,,,,4,0.00,,,,
219,4,Activity,15,15,100,,,,,,,4,0.00,,,,
220,4,Activity,15,16,100,,1.00000,,1.00000,2018-02-07 00:00:00,2018-02-13 00:00:00,4,0.00,,,,
223,6,Activity,15,34,100,,,,,,,4,0.00,,,,
224,6,Activity,15,35,100,,,,,,,4,0.00,,,,
225,6,Activity,15,36,100,,,,,,,4,0.00,,,,
226,6,Activity,15,37,100,,9.00000,,9.00000,2018-01-23 00:00:00,2018-05-02 00:00:00,4,0.00,,,,
227,6,Activity,15,38,100,,4.00000,,4.00000,2018-02-21 00:00:00,2018-04-26 00:00:00,4,0.00,,,,
228,43,Activity,15,80,100,,,,,,,4,0.00,,,,
229,43,Activity,5,80,100,,1.25000,,1.25000,2018-01-18 00:00:00,2018-01-29 00:00:00,1,0.00,,,,
230,43,Activity,29,80,100,,0.00000,,0.00000,,,4,0.00,,,,
231,43,Activity,15,81,100,,2.50000,,2.50000,2018-02-06 00:00:00,2018-02-26 00:00:00,4,0.00,,,,
232,43,Activity,5,81,100,,,,,,,4,0.00,,,,
234,43,Activity,29,81,100,,12.00000,,12.00000,2018-01-23 00:00:00,2018-07-26 00:00:00,4,0.00,,,,
235,43,Activity,15,82,100,,3.50000,,3.50000,2018-01-30 00:00:00,2018-02-09 00:00:00,4,0.00,,,,
236,43,Activity,5,82,100,,0.75000,,0.75000,2018-01-30 00:00:00,2018-01-31 00:00:00,4,0.00,,,,
237,43,Activity,33,82,100,,,,,,,4,0.00,,,,
238,43,Activity,15,83,100,,,,,,,4,0.00,,,,
239,43,Activity,5,83,100,,,,,,,4,0.00,,,,
240,43,Activity,29,83,100,,,,,,,4,0.00,,,,
241,43,Activity,15,84,100,,,,,,,4,0.00,,,,
242,43,Activity,33,84,100,,18.00000,,18.00000,2019-01-02 00:00:00,2019-02-22 00:00:00,4,,,,,
243,43,Activity,5,84,100,,,,,,,,,,,,
244,43,Activity,29,84,100,,,,,,,,,,,,
245,44,Activity,24,85,100,,30.50000,,30.50000,2018-03-03 00:00:00,2018-04-13 00:00:00,,,,,,
246,26,Activity,8,86,100,,10.75000,,10.75000,2018-01-09 00:00:00,2018-03-08 00:00:00,1,0.00,,,,
247,26,Activity,19,86,100,,,,,,,,,,,,
248,27,Activity,26,87,100,,3.00000,,3.00000,2018-02-05 00:00:00,2018-02-28 00:00:00,,,,,,
249,27,Activity,16,87,100,,3.50000,,3.50000,2018-02-12 00:00:00,2018-02-27 00:00:00,,,,,,
251,27,Activity,22,87,100,,,,,,,,,,,,
252,27,Activity,33,87,100,,2.01000,,2.01000,2018-01-09 00:00:00,2018-02-16 00:00:00,4,,,,,
253,27,Activity,27,87,100,,11.00000,,11.00000,2018-02-05 00:00:00,2018-03-08 00:00:00,,,,,,
254,27,Activity,34,87,100,,3.50000,,3.50000,2018-02-05 00:00:00,2018-03-22 00:00:00,1,,,,,
255,27,Activity,29,87,100,,4.25000,,4.25000,2018-01-11 00:00:00,2019-12-10 00:00:00,,,,,,
256,29,Activity,26,88,100,,21.50000,,21.50000,2018-01-08 00:00:00,2018-04-24 00:00:00,,,,,,
257,29,Activity,16,88,100,,8.50000,,8.50000,2018-01-03 00:00:00,2018-04-20 00:00:00,,,,,,
258,29,Activity,8,88,100,,14.75000,,14.75000,2018-01-05 00:00:00,2018-04-05 00:00:00,,,,,,
259,29,Activity,22,88,100,,17.50000,,17.50000,2018-01-16 00:00:00,2018-04-27 00:00:00,,,,,,
260,29,Activity,33,88,100,,,,,,,,,,,,
261,29,Activity,27,88,100,,0.00000,,0.00000,,,,,,,,
262,2,Activity,27,89,100,,21.00000,,21.00000,2018-01-02 00:00:00,2018-01-31 00:00:00,,,,,,
263,13,Activity,19,90,100,,,,,,,4,0.00,,,,
264,13,Activity,17,90,100,,3.00000,,3.00000,2018-01-17 00:00:00,2018-02-26 00:00:00,,,,,,
265,13,Activity,11,90,100,,,,,,,,,,,,
266,13,Activity,20,90,100,,1.00000,,1.00000,2018-07-02 00:00:00,2018-07-02 00:00:00,,,,,,
267,32,Activity,1,59,100,,0.00000,,0.00000,,,,,,,,
268,32,Activity,1,60,100,,,,,,,,,,,,
269,32,Activity,23,60,100,,,,,,,,,,,,
270,45,Activity,4,91,100,,0.50000,,0.50000,2018-01-29 00:00:00,2018-01-29 00:00:00,,,,,,
271,45,Activity,7,91,100,,3.75000,,3.75000,2018-01-16 00:00:00,2018-04-12 00:00:00,1,,,,,
272,45,Activity,22,91,100,,,,,,,,,,,,
273,45,Activity,25,91,100,,2.75000,,2.75000,2018-01-18 00:00:00,2018-04-25 00:00:00,1,,,,,
274,45,Activity,4,92,100,,1.00000,,1.00000,2018-01-31 00:00:00,2018-01-31 00:00:00,,,,,,
275,45,Activity,7,92,100,,,,,,,,,,,,
276,45,Activity,22,92,100,,,,,,,,,,,,
277,45,Activity,25,92,100,,,,,,,,,,,,
278,45,Activity,4,93,100,,0.25000,,0.25000,2018-01-29 00:00:00,2018-01-29 00:00:00,,,,,,
279,45,Activity,7,93,100,,,,,,,,,,,,
280,45,Activity,22,93,100,,,,,,,,,,,,
281,45,Activity,25,93,100,,5.25000,,5.25000,2018-04-16 00:00:00,2018-06-29 00:00:00,1,,,,,
282,45,Activity,7,94,100,,,,,,,,,,,,
283,45,Activity,4,94,100,,,,,,,,,,,,
284,45,Activity,22,94,100,,,,,,,,,,,,
285,45,Activity,25,94,100,,,,,,,,,,,,
286,45,Activity,4,95,100,,3.50000,,3.50000,2018-02-14 00:00:00,2018-02-20 00:00:00,,,,,,
287,45,Activity,7,95,100,,,,,,,,,,,,
288,45,Activity,22,95,100,,6.00000,,6.00000,2018-01-24 00:00:00,2018-02-01 00:00:00,,,,,,
289,45,Activity,25,95,100,,,,,,,,,,,,
290,45,Activity,4,96,100,,,,,,,,,,,,
291,45,Activity,7,96,100,,,,,,,,,,,,
292,45,Activity,22,96,100,,,,,,,,,,,,
293,45,Activity,25,96,100,,28.13000,,28.13000,2018-01-25 00:00:00,2018-07-23 00:00:00,1,,,,,
294,45,Activity,4,97,100,,,,,,,,,,,,
295,45,Activity,7,97,100,,,,,,,,,,,,
296,45,Activity,22,97,100,,,,,,,,,,,,
297,45,Activity,25,97,100,,,,,,,,,,,,
298,45,Activity,4,98,100,,,,,,,,,,,,
299,45,Activity,7,98,100,,,,,,,,,,,,
300,45,Activity,22,98,100,,,,,,,,,,,,
301,45,Activity,25,98,100,,,,,,,,,,,,
302,46,Activity,4,99,100,,,,,,,,,,,,
303,46,Activity,7,99,100,,,,,,,,,,,,
304,46,Activity,22,99,100,,,,,,,,,,,,
305,46,Activity,25,99,100,,0.75000,,0.75000,2018-02-27 00:00:00,2018-02-27 00:00:00,,,,,,
306,46,Activity,4,100,100,,,,,,,,,,,,
307,46,Activity,7,100,100,,,,,,,,,,,,
308,46,Activity,22,100,100,,,,,,,,,,,,
309,46,Activity,25,100,100,,4.00000,,4.00000,2018-02-28 00:00:00,2018-07-06 00:00:00,1,,,,,
310,46,Activity,4,101,100,,,,,,,,,,,,
311,46,Activity,7,101,100,,,,,,,,,,,,
312,46,Activity,22,101,100,,4.00000,,4.00000,2018-05-08 00:00:00,2018-05-11 00:00:00,,,,,,
313,46,Activity,25,101,100,,,,,,,,,,,,
314,46,Activity,4,102,100,,,,,,,,,,,,
315,46,Activity,7,102,100,,,,,,,,,,,,
316,46,Activity,22,102,100,,,,,,,,,,,,
317,46,Activity,25,102,100,,,,,,,,,,,,
318,46,Activity,4,103,100,,,,,,,,,,,,
319,46,Activity,7,103,100,,,,,,,,,,,,
320,46,Activity,22,103,100,,,,,,,,,,,,
321,46,Activity,25,103,100,,,,,,,,,,,,
322,47,Activity,26,104,100,,0.75000,,0.75000,2018-02-02 00:00:00,2018-02-05 00:00:00,,,,,,
323,47,Activity,7,104,100,,,,,,,,,,,,
324,47,Activity,29,104,100,,,,,,,,,,,,
325,47,Activity,26,105,100,,19.50000,,19.50000,2018-03-01 00:00:00,2018-04-10 00:00:00,,,,,,
326,47,Activity,29,105,100,,15.00000,,15.00000,2018-03-01 00:00:00,2018-03-29 00:00:00,,,,,,
327,47,Activity,7,105,100,,,,,,,,,,,,
328,47,Activity,26,106,100,,7.25000,,7.25000,2018-05-07 00:00:00,2018-05-20 00:00:00,,,,,,
329,47,Activity,7,106,100,,,,,,,,,,,,
330,47,Activity,29,106,100,,,,,,,,,,,,
331,47,Activity,26,107,100,,,,,,,,,,,,
332,47,Activity,7,107,100,,,,,,,,,,,,
333,47,Activity,29,107,100,,,,,,,,,,,,
334,48,Activity,4,108,100,,3.00000,,3.00000,2018-03-07 00:00:00,2018-04-27 00:00:00,1,100.00,,300.00,,300.00
335,48,Activity,7,108,100,,,,,,,,,,,,
